video_id,dataset,label,split,frame_count,pose_count,window_count
urfd_fall-20-cam0,urfd,fall,train,22,13,20
le2i_CR02_video_49_fall,le2i,fall,train,6,6,4
gmncsa24_gmncsa_fall_013,gmncsa24,fall,train,51,33,49
gmncsa24_gmncsa_fall_040,gmncsa24,fall,train,54,26,52
gmncsa24_gmncsa_fall_065,gmncsa24,fall,train,26,26,24
urfd_fall-28-cam0,urfd,fall,train,14,9,12
le2i_CR01_video_25_fall,le2i,fall,train,9,9,7
gmncsa24_gmncsa_fall_025,gmncsa24,fall,train,27,19,25
le2i_CR01_video_40_fall,le2i,fall,train,7,7,5
urfd_fall-26-cam0,urfd,fall,train,13,7,11
le2i_H01_video_7_fall,le2i,fall,train,3,2,1
gmncsa24_gmncsa_fall_072,gmncsa24,fall,train,35,33,33
gmncsa24_gmncsa_fall_078,gmncsa24,fall,train,31,31,29
le2i_CR01_video_42_fall,le2i,fall,train,5,5,3
le2i_CR01_video_29_fall,le2i,fall,train,7,6,5
le2i_H01_video_8_fall,le2i,fall,train,3,2,1
gmncsa24_gmncsa_fall_012,gmncsa24,fall,train,42,42,40
le2i_CR01_video_41_fall,le2i,fall,train,6,5,4
le2i_CR02_video_52_fall,le2i,fall,train,43,42,41
le2i_H01_video_17_fall,le2i,fall,train,3,1,1
le2i_H01_video_16_fall,le2i,fall,train,3,3,1
gmncsa24_gmncsa_fall_001,gmncsa24,fall,train,31,24,29
gmncsa24_gmncsa_fall_039,gmncsa24,fall,train,60,60,58
gmncsa24_gmncsa_fall_052,gmncsa24,fall,train,43,22,41
le2i_CR02_video_55_fall,le2i,fall,train,6,5,4
le2i_H02_video_32_fall,le2i,fall,train,3,1,1
gmncsa24_gmncsa_fall_027,gmncsa24,fall,train,38,38,36
le2i_CR02_video_62_fall,le2i,fall,train,4,4,2
urfd_fall-19-cam0,urfd,fall,train,20,2,18
le2i_H01_video_9_fall,le2i,fall,train,3,3,1
gmncsa24_gmncsa_fall_043,gmncsa24,fall,train,26,26,24
gmncsa24_gmncsa_fall_062,gmncsa24,fall,train,38,18,36
gmncsa24_gmncsa_fall_057,gmncsa24,fall,train,28,21,26
urfd_fall-11-cam0,urfd,fall,train,26,26,24
le2i_H02_video_34_fall,le2i,fall,train,3,1,1
gmncsa24_gmncsa_fall_005,gmncsa24,fall,train,37,37,35
le2i_CR01_video_7_fall,le2i,fall,train,7,7,5
gmncsa24_gmncsa_fall_026,gmncsa24,fall,train,55,55,53
gmncsa24_gmncsa_fall_019,gmncsa24,fall,train,32,14,30
le2i_H01_video_28_fall,le2i,fall,train,3,2,1
le2i_CR01_video_3_fall,le2i,fall,train,8,7,6
gmncsa24_gmncsa_fall_035,gmncsa24,fall,train,19,3,17
gmncsa24_gmncsa_fall_007,gmncsa24,fall,train,60,22,58
le2i_CR01_video_23_fall,le2i,fall,train,8,8,6
gmncsa24_gmncsa_fall_079,gmncsa24,fall,train,26,11,24
le2i_CR02_video_54_fall,le2i,fall,train,5,2,3
urfd_fall-30-cam0,urfd,fall,train,14,8,12
le2i_CR02_video_53_fall,le2i,fall,train,6,5,4
le2i_H01_video_26_fall,le2i,fall,train,3,1,1
gmncsa24_gmncsa_fall_018,gmncsa24,fall,train,27,20,25
urfd_fall-10-cam0,urfd,fall,train,26,21,24
le2i_H01_video_5_fall,le2i,fall,train,4,1,2
urfd_fall-01-cam0,urfd,fall,train,32,4,30
le2i_CR01_video_21_fall,le2i,fall,train,4,4,2
gmncsa24_gmncsa_fall_010,gmncsa24,fall,train,60,39,58
le2i_CR01_video_2_fall,le2i,fall,train,6,5,4
urfd_fall-02-cam0,urfd,fall,train,22,18,20
gmncsa24_gmncsa_fall_074,gmncsa24,fall,train,27,23,25
le2i_CR01_video_1_fall,le2i,fall,train,7,5,5
urfd_fall-06-cam0,urfd,fall,train,20,19,18
le2i_CR02_video_59_fall,le2i,fall,train,5,5,3
gmncsa24_gmncsa_fall_034,gmncsa24,fall,train,40,31,38
le2i_CR01_video_18_fall,le2i,fall,train,7,7,5
urfd_fall-25-cam0,urfd,fall,train,17,1,15
le2i_CR01_video_10_fall,le2i,fall,train,6,6,4
le2i_CR02_video_57_fall,le2i,fall,val,10,6,8
le2i_CR01_video_13_fall,le2i,fall,val,4,3,2
gmncsa24_gmncsa_fall_006,gmncsa24,fall,val,60,53,58
gmncsa24_gmncsa_fall_038,gmncsa24,fall,val,23,19,21
gmncsa24_gmncsa_fall_042,gmncsa24,fall,val,33,27,31
le2i_CR01_video_45_fall,le2i,fall,val,6,6,4
le2i_H01_video_2_fall,le2i,fall,val,4,2,2
le2i_CR01_video_9_fall,le2i,fall,val,7,6,5
urfd_fall-29-cam0,urfd,fall,val,20,2,18
le2i_H01_video_6_fall,le2i,fall,val,5,4,3
gmncsa24_gmncsa_fall_021,gmncsa24,fall,val,60,56,58
gmncsa24_gmncsa_fall_023,gmncsa24,fall,val,39,38,37
gmncsa24_gmncsa_fall_076,gmncsa24,fall,val,40,37,38
gmncsa24_gmncsa_fall_071,gmncsa24,fall,val,41,26,39
le2i_CR01_video_26_fall,le2i,fall,val,56,55,54
gmncsa24_gmncsa_fall_073,gmncsa24,fall,val,37,37,35
gmncsa24_gmncsa_fall_002,gmncsa24,fall,val,45,44,43
gmncsa24_gmncsa_fall_020,gmncsa24,fall,val,34,4,32
gmncsa24_gmncsa_fall_014,gmncsa24,fall,val,24,24,22
le2i_CR01_video_44_fall,le2i,fall,val,7,7,5
le2i_CR01_video_22_fall,le2i,fall,val,4,4,2
le2i_H01_video_18_fall,le2i,fall,val,3,1,1
gmncsa24_gmncsa_fall_066,gmncsa24,fall,val,36,36,34
le2i_CR01_video_8_fall,le2i,fall,val,6,3,4
gmncsa24_gmncsa_fall_009,gmncsa24,fall,val,44,41,42
urfd_fall-24-cam0,urfd,fall,val,12,7,10
gmncsa24_gmncsa_fall_031,gmncsa24,fall,val,18,12,16
le2i_CR01_video_36_fall,le2i,fall,val,6,6,4
le2i_H01_video_1_fall,le2i,fall,test,4,2,2
gmncsa24_gmncsa_fall_044,gmncsa24,fall,test,34,34,32
urfd_fall-23-cam0,urfd,fall,test,15,2,13
le2i_H02_video_37_fall,le2i,fall,test,3,1,1
le2i_H02_video_33_fall,le2i,fall,test,3,0,1
gmncsa24_gmncsa_fall_061,gmncsa24,fall,test,37,31,35
le2i_CR01_video_47_fall,le2i,fall,test,7,2,5
le2i_CR01_video_19_fall,le2i,fall,test,9,9,7
le2i_H02_video_35_fall,le2i,fall,test,3,1,1
gmncsa24_gmncsa_fall_028,gmncsa24,fall,test,38,30,36
le2i_CR01_video_20_fall,le2i,fall,test,10,10,8
gmncsa24_gmncsa_fall_059,gmncsa24,fall,test,29,21,27
urfd_fall-04-cam0,urfd,fall,test,20,12,18
le2i_H01_video_12_fall,le2i,fall,test,3,3,1
le2i_CR01_video_4_fall,le2i,fall,test,7,7,5
gmncsa24_gmncsa_fall_030,gmncsa24,fall,test,36,27,34
gmncsa24_gmncsa_fall_003,gmncsa24,fall,test,57,30,55
gmncsa24_gmncsa_fall_037,gmncsa24,fall,test,17,0,15
le2i_CR01_video_39_fall,le2i,fall,test,6,5,4
urfd_fall-14-cam0,urfd,fall,test,13,13,11
le2i_CR02_video_50_fall,le2i,fall,test,60,56,58
le2i_CR01_video_48_fall,le2i,fall,test,7,7,5
urfd_fall-16-cam0,urfd,fall,test,11,11,9
urfd_fall-17-cam0,urfd,fall,test,19,1,17
gmncsa24_gmncsa_fall_017,gmncsa24,fall,test,38,38,36
gmncsa24_gmncsa_fall_048,gmncsa24,fall,test,38,32,36
le2i_CR01_video_11_fall,le2i,fall,test,6,6,4
le2i_CR01_video_6_fall,le2i,fall,test,6,3,4
le2i_CR02_video_56_fall,le2i,fall,test,6,6,4
le2i_H01_video_10_fall,le2i,fall,test,3,1,1
gmncsa24_gmncsa_fall_050,gmncsa24,fall,test,40,13,38
urfd_fall-13-cam0,urfd,fall,test,17,3,15
gmncsa24_gmncsa_adl_008,gmncsa24,no_fall,train,12,6,4
le2i_CR01_video_20_adl,le2i,no_fall,train,22,22,7
le2i_H01_video_23_adl,le2i,no_fall,train,11,2,3
le2i_CR01_video_4_adl,le2i,no_fall,train,9,8,3
le2i_H01_video_4_adl,le2i,no_fall,train,10,4,3
gmncsa24_gmncsa_adl_050,gmncsa24,no_fall,train,20,19,6
le2i_CR02_video_54_adl,le2i,no_fall,train,11,9,3
le2i_H01_video_6_adl,le2i,no_fall,train,8,5,2
gmncsa24_gmncsa_adl_026,gmncsa24,no_fall,train,16,16,5
urfd_adl-16-cam0,urfd,no_fall,train,16,6,5
le2i_H02_video_31_adl,le2i,no_fall,train,13,6,4
urfd_adl-12-cam0,urfd,no_fall,train,17,7,5
le2i_CR01_video_35_adl,le2i,no_fall,train,5,5,1
le2i_CR01_video_38_adl,le2i,no_fall,train,16,15,5
le2i_CR01_video_48_adl,le2i,no_fall,train,30,29,10
le2i_CR01_video_18_adl,le2i,no_fall,train,11,11,3
urfd_adl-30-cam0,urfd,no_fall,train,27,3,9
gmncsa24_gmncsa_adl_035,gmncsa24,no_fall,train,9,9,3
le2i_CR01_video_29_adl,le2i,no_fall,train,20,20,6
le2i_CR01_video_24_adl,le2i,no_fall,train,14,14,4
gmncsa24_gmncsa_adl_021,gmncsa24,no_fall,train,22,22,7
urfd_adl-21-cam0,urfd,no_fall,train,19,3,6
le2i_CR01_video_19_adl,le2i,no_fall,train,6,6,2
urfd_adl-08-cam0,urfd,no_fall,train,12,0,4
gmncsa24_gmncsa_adl_016,gmncsa24,no_fall,train,22,21,7
urfd_adl-24-cam0,urfd,no_fall,train,5,4,1
le2i_CR01_video_7_adl,le2i,no_fall,train,7,7,2
gmncsa24_gmncsa_adl_061,gmncsa24,no_fall,train,26,26,8
le2i_CR01_video_44_adl,le2i,no_fall,train,4,4,1
gmncsa24_gmncsa_adl_027,gmncsa24,no_fall,train,10,10,3
gmncsa24_gmncsa_adl_051,gmncsa24,no_fall,train,13,10,4
le2i_CR01_video_6_adl,le2i,no_fall,train,9,8,3
gmncsa24_gmncsa_adl_042,gmncsa24,no_fall,train,11,5,3
le2i_H01_video_30_adl,le2i,no_fall,train,8,4,2
le2i_CR01_video_45_adl,le2i,no_fall,train,7,7,2
le2i_CR02_video_58_adl,le2i,no_fall,train,12,12,4
le2i_CR01_video_11_adl,le2i,no_fall,train,25,22,8
le2i_CR01_video_31_adl,le2i,no_fall,train,11,11,3
gmncsa24_gmncsa_adl_014,gmncsa24,no_fall,train,12,4,4
gmncsa24_gmncsa_adl_011,gmncsa24,no_fall,train,24,23,8
urfd_adl-09-cam0,urfd,no_fall,train,10,4,3
gmncsa24_gmncsa_adl_069,gmncsa24,no_fall,train,14,14,4
urfd_adl-40-cam0,urfd,no_fall,train,22,0,7
urfd_adl-02-cam0,urfd,no_fall,train,12,7,4
le2i_CR01_video_13_adl,le2i,no_fall,train,7,7,2
gmncsa24_gmncsa_adl_067,gmncsa24,no_fall,train,13,11,4
le2i_CR01_video_34_adl,le2i,no_fall,train,22,22,7
le2i_H01_video_25_adl,le2i,no_fall,train,11,5,3
le2i_CR01_video_22_adl,le2i,no_fall,train,9,8,3
urfd_adl-39-cam0,urfd,no_fall,train,18,0,6
le2i_CR02_video_55_adl,le2i,no_fall,train,15,15,5
gmncsa24_gmncsa_adl_059,gmncsa24,no_fall,train,22,22,7
le2i_CR01_video_8_adl,le2i,no_fall,train,11,8,3
gmncsa24_gmncsa_adl_058,gmncsa24,no_fall,train,15,12,5
gmncsa24_gmncsa_adl_031,gmncsa24,no_fall,train,13,13,4
urfd_adl-37-cam0,urfd,no_fall,train,24,15,8
le2i_H02_video_34_adl,le2i,no_fall,train,10,1,3
gmncsa24_gmncsa_adl_024,gmncsa24,no_fall,train,19,19,6
gmncsa24_gmncsa_adl_030,gmncsa24,no_fall,train,7,6,2
le2i_H01_video_2_adl,le2i,no_fall,train,8,2,2
gmncsa24_gmncsa_adl_009,gmncsa24,no_fall,train,12,8,4
le2i_H01_video_1_adl,le2i,no_fall,train,10,8,3
gmncsa24_gmncsa_adl_053,gmncsa24,no_fall,train,21,18,7
gmncsa24_gmncsa_adl_001,gmncsa24,no_fall,train,13,12,4
urfd_adl-26-cam0,urfd,no_fall,train,7,7,2
le2i_CR01_video_1_adl,le2i,no_fall,train,4,2,1
urfd_adl-10-cam0,urfd,no_fall,train,20,13,6
gmncsa24_gmncsa_adl_003,gmncsa24,no_fall,train,11,5,3
urfd_adl-38-cam0,urfd,no_fall,train,23,0,7
gmncsa24_gmncsa_adl_066,gmncsa24,no_fall,train,10,10,3
le2i_CR01_video_27_adl,le2i,no_fall,train,11,11,3
le2i_H01_video_17_adl,le2i,no_fall,train,10,5,3
le2i_H01_video_28_adl,le2i,no_fall,train,11,8,3
le2i_H01_video_3_adl,le2i,no_fall,train,8,2,2
gmncsa24_gmncsa_adl_019,gmncsa24,no_fall,train,16,16,5
urfd_adl-13-cam0,urfd,no_fall,train,18,4,6
gmncsa24_gmncsa_adl_022,gmncsa24,no_fall,train,26,26,8
le2i_CR02_video_62_adl,le2i,no_fall,train,12,10,4
le2i_CR01_video_9_adl,le2i,no_fall,train,7,7,2
gmncsa24_gmncsa_adl_079,gmncsa24,no_fall,train,25,25,8
gmncsa24_gmncsa_adl_077,gmncsa24,no_fall,train,12,12,4
le2i_CR01_video_21_adl,le2i,no_fall,train,6,5,2
le2i_CR01_video_36_adl,le2i,no_fall,train,30,28,10
le2i_H01_video_27_adl,le2i,no_fall,train,11,4,3
gmncsa24_gmncsa_adl_075,gmncsa24,no_fall,train,19,19,6
gmncsa24_gmncsa_adl_028,gmncsa24,no_fall,train,10,10,3
gmncsa24_gmncsa_adl_017,gmncsa24,no_fall,train,20,20,6
gmncsa24_gmncsa_adl_063,gmncsa24,no_fall,train,14,14,4
gmncsa24_gmncsa_adl_047,gmncsa24,no_fall,train,25,25,8
gmncsa24_gmncsa_adl_032,gmncsa24,no_fall,train,20,19,6
gmncsa24_gmncsa_adl_057,gmncsa24,no_fall,train,25,25,8
le2i_CR01_video_2_adl,le2i,no_fall,train,13,12,4
le2i_H01_video_18_adl,le2i,no_fall,train,9,3,3
gmncsa24_gmncsa_adl_034,gmncsa24,no_fall,train,21,21,7
le2i_CR01_video_40_adl,le2i,no_fall,train,18,17,6
urfd_adl-19-cam0,urfd,no_fall,train,17,1,5
le2i_CR01_video_16_adl,le2i,no_fall,train,3,2,1
le2i_CR01_video_47_adl,le2i,no_fall,train,30,20,10
le2i_CR01_video_10_adl,le2i,no_fall,train,14,11,4
urfd_adl-33-cam0,urfd,no_fall,train,14,3,4
le2i_CR01_video_33_adl,le2i,no_fall,train,6,6,2
le2i_H01_video_7_adl,le2i,no_fall,train,9,5,3
gmncsa24_gmncsa_adl_033,gmncsa24,no_fall,train,19,19,6
urfd_adl-31-cam0,urfd,no_fall,train,17,1,5
urfd_adl-05-cam0,urfd,no_fall,train,12,8,4
le2i_CR02_video_64_adl,le2i,no_fall,train,10,10,3
urfd_adl-01-cam0,urfd,no_fall,train,10,6,3
gmncsa24_gmncsa_adl_043,gmncsa24,no_fall,train,18,18,6
gmncsa24_gmncsa_adl_071,gmncsa24,no_fall,train,12,12,4
urfd_adl-32-cam0,urfd,no_fall,train,14,0,4
le2i_CR01_video_39_adl,le2i,no_fall,train,4,3,1
le2i_CR01_video_32_adl,le2i,no_fall,train,14,13,4
le2i_H02_video_37_adl,le2i,no_fall,train,9,6,3
le2i_H02_video_35_adl,le2i,no_fall,train,9,0,3
gmncsa24_gmncsa_adl_007,gmncsa24,no_fall,train,12,1,4
gmncsa24_gmncsa_adl_039,gmncsa24,no_fall,train,25,13,8
le2i_H01_video_20_adl,le2i,no_fall,train,10,5,3
le2i_CR01_video_5_adl,le2i,no_fall,train,9,9,3
urfd_adl-36-cam0,urfd,no_fall,train,23,8,7
urfd_adl-35-cam0,urfd,no_fall,train,19,1,6
le2i_H01_video_12_adl,le2i,no_fall,train,11,1,3
gmncsa24_gmncsa_adl_045,gmncsa24,no_fall,train,9,4,3
le2i_CR02_video_49_adl,le2i,no_fall,train,29,29,9
urfd_adl-14-cam0,urfd,no_fall,train,16,6,5
gmncsa24_gmncsa_adl_054,gmncsa24,no_fall,train,15,15,5
gmncsa24_gmncsa_adl_041,gmncsa24,no_fall,train,20,18,6
le2i_CR02_video_51_adl,le2i,no_fall,train,5,2,1
le2i_H01_video_11_adl,le2i,no_fall,train,9,1,3
le2i_H01_video_16_adl,le2i,no_fall,train,12,12,4
gmncsa24_gmncsa_adl_055,gmncsa24,no_fall,train,17,15,5
urfd_adl-25-cam0,urfd,no_fall,train,8,3,2
le2i_CR02_video_60_adl,le2i,no_fall,train,9,9,3
le2i_CR02_video_57_adl,le2i,no_fall,train,30,29,10
gmncsa24_gmncsa_adl_070,gmncsa24,no_fall,train,7,7,2
le2i_CR01_video_30_adl,le2i,no_fall,train,6,6,2
gmncsa24_gmncsa_adl_013,gmncsa24,no_fall,train,12,5,4
gmncsa24_gmncsa_adl_080,gmncsa24,no_fall,train,15,15,5
gmncsa24_gmncsa_adl_044,gmncsa24,no_fall,train,7,7,2
gmncsa24_gmncsa_adl_002,gmncsa24,no_fall,train,8,8,2
gmncsa24_gmncsa_adl_018,gmncsa24,no_fall,train,16,16,5
urfd_adl-29-cam0,urfd,no_fall,train,9,3,3
le2i_H01_video_22_adl,le2i,no_fall,train,10,3,3
le2i_H01_video_10_adl,le2i,no_fall,train,9,1,3
le2i_CR01_video_46_adl,le2i,no_fall,train,11,11,3
urfd_adl-03-cam0,urfd,no_fall,train,12,7,4
le2i_H02_video_36_adl,le2i,no_fall,train,8,0,2
gmncsa24_gmncsa_adl_038,gmncsa24,no_fall,train,11,8,3
gmncsa24_gmncsa_adl_040,gmncsa24,no_fall,train,25,20,8
gmncsa24_gmncsa_adl_012,gmncsa24,no_fall,train,12,10,4
urfd_adl-27-cam0,urfd,no_fall,val,7,6,2
urfd_adl-17-cam0,urfd,no_fall,val,16,5,5
le2i_CR02_video_53_adl,le2i,no_fall,val,18,14,6
gmncsa24_gmncsa_adl_073,gmncsa24,no_fall,val,17,17,5
gmncsa24_gmncsa_adl_010,gmncsa24,no_fall,val,24,24,8
le2i_CR01_video_14_adl,le2i,no_fall,val,4,4,1
le2i_H01_video_8_adl,le2i,no_fall,val,8,2,2
le2i_CR01_video_28_adl,le2i,no_fall,val,4,3,1
le2i_H01_video_9_adl,le2i,no_fall,val,10,1,3
le2i_H01_video_15_adl,le2i,no_fall,val,11,1,3
gmncsa24_gmncsa_adl_056,gmncsa24,no_fall,val,11,11,3
gmncsa24_gmncsa_adl_074,gmncsa24,no_fall,val,21,18,7
gmncsa24_gmncsa_adl_023,gmncsa24,no_fall,val,10,10,3
le2i_CR01_video_41_adl,le2i,no_fall,val,18,18,6
le2i_CR01_video_12_adl,le2i,no_fall,val,4,4,1
le2i_CR02_video_56_adl,le2i,no_fall,val,20,19,6
le2i_H01_video_29_adl,le2i,no_fall,val,11,10,3
urfd_adl-04-cam0,urfd,no_fall,val,10,6,3
le2i_CR01_video_15_adl,le2i,no_fall,val,4,3,1
gmncsa24_gmncsa_adl_064,gmncsa24,no_fall,val,10,7,3
gmncsa24_gmncsa_adl_049,gmncsa24,no_fall,val,29,29,9
le2i_H01_video_24_adl,le2i,no_fall,val,9,3,3
gmncsa24_gmncsa_adl_081,gmncsa24,no_fall,val,13,13,4
le2i_CR01_video_43_adl,le2i,no_fall,val,30,30,10
gmncsa24_gmncsa_adl_076,gmncsa24,no_fall,val,8,8,2
gmncsa24_gmncsa_adl_020,gmncsa24,no_fall,val,16,14,5
le2i_H01_video_13_adl,le2i,no_fall,val,10,2,3
urfd_adl-07-cam0,urfd,no_fall,val,12,2,4
gmncsa24_gmncsa_adl_052,gmncsa24,no_fall,val,18,18,6
le2i_CR01_video_3_adl,le2i,no_fall,val,15,13,5
gmncsa24_gmncsa_adl_036,gmncsa24,no_fall,val,8,7,2
gmncsa24_gmncsa_adl_029,gmncsa24,no_fall,val,12,12,4
urfd_adl-22-cam0,urfd,no_fall,val,16,0,5
gmncsa24_gmncsa_adl_060,gmncsa24,no_fall,val,26,23,8
gmncsa24_gmncsa_adl_015,gmncsa24,no_fall,test,23,23,7
urfd_adl-06-cam0,urfd,no_fall,test,16,8,5
le2i_H01_video_5_adl,le2i,no_fall,test,7,5,2
le2i_H01_video_21_adl,le2i,no_fall,test,10,4,3
urfd_adl-11-cam0,urfd,no_fall,test,20,12,6
urfd_adl-34-cam0,urfd,no_fall,test,13,1,4
le2i_H01_video_14_adl,le2i,no_fall,test,12,2,4
le2i_CR01_video_42_adl,le2i,no_fall,test,8,8,2
gmncsa24_gmncsa_adl_005,gmncsa24,no_fall,test,28,27,9
gmncsa24_gmncsa_adl_025,gmncsa24,no_fall,test,21,21,7
urfd_adl-20-cam0,urfd,no_fall,test,18,3,6
gmncsa24_gmncsa_adl_062,gmncsa24,no_fall,test,18,18,6
gmncsa24_gmncsa_adl_072,gmncsa24,no_fall,test,15,15,5
gmncsa24_gmncsa_adl_046,gmncsa24,no_fall,test,25,25,8
gmncsa24_gmncsa_adl_065,gmncsa24,no_fall,test,11,11,3
gmncsa24_gmncsa_adl_004,gmncsa24,no_fall,test,22,22,7
gmncsa24_gmncsa_adl_037,gmncsa24,no_fall,test,18,10,6
gmncsa24_gmncsa_adl_006,gmncsa24,no_fall,test,12,11,4
le2i_H02_video_32_adl,le2i,no_fall,test,6,1,2
le2i_CR01_video_37_adl,le2i,no_fall,test,4,4,1
le2i_CR01_video_23_adl,le2i,no_fall,test,14,14,4
gmncsa24_gmncsa_adl_068,gmncsa24,no_fall,test,14,14,4
le2i_H01_video_26_adl,le2i,no_fall,test,9,8,3
le2i_CR02_video_59_adl,le2i,no_fall,test,9,9,3
urfd_adl-18-cam0,urfd,no_fall,test,18,2,6
le2i_CR01_video_25_adl,le2i,no_fall,test,10,10,3
le2i_H02_video_33_adl,le2i,no_fall,test,9,0,3
urfd_adl-15-cam0,urfd,no_fall,test,19,7,6
le2i_H01_video_19_adl,le2i,no_fall,test,9,3,3
gmncsa24_gmncsa_adl_048,gmncsa24,no_fall,test,30,30,10
gmncsa24_gmncsa_adl_078,gmncsa24,no_fall,test,15,15,5
urfd_adl-23-cam0,urfd,no_fall,test,15,3,5
urfd_adl-28-cam0,urfd,no_fall,test,6,4,2
